Perioden;CPI_1
1996-01;68.03
1996-02;68.29
1996-03;68.92
1996-04;69.13
1996-05;68.96
1996-06;68.67
1996-07;68.84
1996-08;68.75
1996-09;69.37
1996-10;69.53
1996-11;69.45
1996-12;69.37
1997-01;69.45
1997-02;69.59
1997-03;70.12
1997-04;70.2
1997-05;70.36
1997-06;70.02
1997-07;70.25
1997-08;70.44
1997-09;71.07
1997-10;71.14
1997-11;71.17
1997-12;70.95
1998-01;70.71
1998-02;71.11
1998-03;71.7
1998-04;71.88
1998-05;71.81
1998-06;71.51
1998-07;71.65
1998-08;71.66
1998-09;72.25
1998-10;72.41
1998-11;72.41
1998-12;72.21
1999-01;72.25
1999-02;72.61
1999-03;73.24
1999-04;73.4
1999-05;73.42
1999-06;73.14
1999-07;73.06
1999-08;73.46
1999-09;73.8
1999-10;73.86
1999-11;73.95
1999-12;73.7
2000-01;73.55
2000-02;74
2000-03;74.66
2000-04;74.78
2000-05;75.02
2000-06;74.94
2000-07;74.75
2000-08;75.08
2000-09;75.99
2000-10;76.12
2000-11;76.11
2000-12;75.66
2001-01;76.31
2001-02;76.98
2001-03;77.7
2001-04;78.13
2001-05;78.39
2001-06;78.09
2001-07;77.98
2001-08;78.27
2001-09;79.23
2001-10;79.15
2001-11;79.05
2001-12;78.81
2002-01;79.38
2002-02;79.81
2002-03;80.52
2002-04;80.9
2002-05;80.92
2002-06;80.65
2002-07;80.54
2002-08;80.81
2002-09;81.69
2002-10;81.49
2002-11;81.25
2002-12;80.97
2003-01;81.25
2003-02;81.75
2003-03;82.53
2003-04;82.61
2003-05;82.55
2003-06;82.17
2003-07;82.24
2003-08;82.5
2003-09;83.31
2003-10;83.08
2003-11;82.87
2003-12;82.34
2004-01;82.35
2004-02;82.72
2004-03;83.44
2004-04;83.71
2004-05;83.85
2004-06;83.31
2004-07;83.19
2004-08;83.47
2004-09;84.2
2004-10;84.23
2004-11;83.98
2004-12;83.25
2005-01;83.58
2005-02;84.1
2005-03;84.88
2005-04;85.03
2005-05;84.98
2005-06;84.7
2005-07;84.57
2005-08;84.96
2005-09;85.73
2005-10;85.66
2005-11;85.44
2005-12;84.98
2006-01;84.68
2006-02;85.01
2006-03;85.68
2006-04;86.07
2006-05;86.15
2006-06;85.84
2006-07;85.68
2006-08;86.13
2006-09;86.46
2006-10;86.24
2006-11;86.1
2006-12;85.79
2007-01;85.89
2007-02;86.28
2007-03;87.22
2007-04;87.64
2007-05;87.7
2007-06;87.34
2007-07;86.93
2007-08;87.08
2007-09;87.59
2007-10;87.63
2007-11;87.76
2007-12;87.39
2008-01;87.63
2008-02;88.22
2008-03;89.09
2008-04;89.42
2008-05;89.74
2008-06;89.58
2008-07;89.72
2008-08;89.89
2008-09;90.28
2008-10;90.07
2008-11;89.74
2008-12;89.09
2009-01;89.32
2009-02;89.95
2009-03;90.85
2009-04;91.05
2009-05;91.17
2009-06;90.85
2009-07;89.89
2009-08;90.14
2009-09;90.62
2009-10;90.7
2009-11;90.61
2009-12;90.08
2010-01;90.05
2010-02;90.69
2010-03;91.77
2010-04;92.08
2010-05;92.04
2010-06;91.6
2010-07;91.34
2010-08;91.48
2010-09;92.05
2010-10;92.13
2010-11;92.02
2010-12;91.82
2011-01;91.72
2011-02;92.41
2011-03;93.46
2011-04;93.96
2011-05;94.03
2011-06;93.57
2011-07;94.04
2011-08;94.19
2011-09;94.53
2011-10;94.57
2011-11;94.28
2011-12;94.04
2012-01;93.99
2012-02;94.7
2012-03;95.78
2012-04;96.17
2012-05;96.03
2012-06;95.57
2012-07;96.2
2012-08;96.32
2012-09;96.72
2012-10;97.29
2012-11;96.89
2012-12;96.76
2013-01;96.78
2013-02;97.54
2013-03;98.58
2013-04;98.67
2013-05;98.69
2013-06;98.32
2013-07;99.15
2013-08;99.03
2013-09;99.08
2013-10;98.8
2013-11;98.31
2013-12;98.36
2014-01;98.15
2014-02;98.57
2014-03;99.39
2014-04;99.85
2014-05;99.51
2014-06;99.24
2014-07;100.05
2014-08;99.98
2014-09;99.96
2014-10;99.84
2014-11;99.25
2014-12;99.05
2015-01;98.15
2015-02;98.69
2015-03;99.75
2015-04;100.39
2015-05;100.61
2015-06;100.23
2015-07;101
2015-08;100.69
2015-09;100.5
2015-10;100.41
2015-11;99.85
2015-12;99.73
2016-01;98.71
2016-02;99.3
2016-03;100.31
2016-04;100.4
2016-05;100.58
2016-06;100.26
2016-07;100.76
2016-08;100.88
2016-09;100.57
2016-10;100.83
2016-11;100.49
2016-12;100.71
2017-01;100.35
2017-02;101.09
2017-03;101.44
2017-04;101.98
2017-05;101.65
2017-06;101.37
2017-07;102.11
2017-08;102.27
2017-09;102.03
2017-10;102.17
2017-11;102
2017-12;101.97
2018-01;101.82
2018-02;102.31
2018-03;102.47
2018-04;103.11
2018-05;103.42
2018-06;103.1
2018-07;104.28
2018-08;104.4
2018-09;103.95
2018-10;104.32
2018-11;104.07
2018-12;103.97
2019-01;104.05
2019-02;104.97
2019-03;105.37
2019-04;106.08
2019-05;105.94
2019-06;105.84
2019-07;106.9
2019-08;107.37
2019-09;106.7
2019-10;107.16
2019-11;106.73
2019-12;106.8
2020-01;105.97
2020-02;106.64
2020-03;106.85
2020-04;107.34
2020-05;107.18
2020-06;107.51
2020-07;108.69
2020-08;108.13
2020-09;107.88
2020-10;108.47
2020-11;107.61
2020-12;107.85
2021-01;107.62
2021-02;108.57
2021-03;108.87
2021-04;109.36
2021-05;109.46
2021-06;109.67
2021-07;110.23
2021-08;110.71
2021-09;110.79
2021-10;112.18
2021-11;113.17
2021-12;114.01
2022-01;114.53
2022-02;115.27
2022-03;119.46
2022-04;119.81
2022-05;119.05
2022-06;119.05
2022-07;121.57
2022-08;123.95
2022-09;126.89
